1,100,Educational Background, Does  the  candidate  have  the  appropriate  educational qualifications  or training  for  this  position?,10,0,1,11/8/2021,11/8/2021
2,200,Prior  Work  Experience, Has  the  candidate  acquired  similar  skills  or  qualifications  through  past work  experiences?,20,0,1,11/8/2021,11/8/2021
3,300,Technical Qualifications, Does  the  candidate  have  the  technical skills  necessary  for this  position?,20,1,1,11/8/2021,11/8/2021
4,400,Verbal Communication, How  were  the  candidate's  communication  skills  during  the  interview?,10,0,1,11/8/2021,11/8/2021
5,500,Candidate  Enthusiasm, How  much  interest  did  the  candidate  show  in  the  position  and  the organization?,10,0,1,11/8/2021,11/8/2021
6,600,Knowledge  of  Organization, Did  the  candidate  research  the environment prior  to  the  interview?,5,0,1,11/8/2021,11/8/2021
7,700,Interpersona Skills," Did  the  candidate  demonstrate   through  their  answers,  good teambuilding/interpersonal skills?",15,0,1,11/8/2021,11/8/2021
8,800,Initiative," Did  the  candidate  demonstrate,  through  their  answers,  a  high  degree  of  initiative?",15,0,1,11/8/2021,11/8/2021
9,900,Time  Management," Did  the  candidate  demonstrate,  through  their  answers,  good  time  management skills?",10,0,1,11/8/2021,11/8/2021
10,1000,Customer  Service," Did  the  candidate  demonstrate,  through  their  answers,  a  high  leve of  customer service  skills/abilities?",10,0,1,11/8/2021,11/8/2021
11,1100,Overal Impression, Final comments  and  recommendations  for  proceeding with  the  candidate.,20,1,1,11/8/2021,11/8/2021
